SOLARSYSTEMID	SOLARSYSTEMNAME	X	Y	Z	LUMINOSITY	SECURITY	RADIUS
30004614	AV-VB6	-4.34E+017	2.30E+016	-2.29E+016	0.08	-0.87	2272490431904
30004615	HMF-9D	-4.62E+017	1.05E+016	-2.46E+016	0.15	-0.21	2355117031584
30004616	7BX-6F	-4.28E+017	2.36E+016	-2.32E+016	0.56	-0.76	1989039795506
30004617	YZ-LQL	-4.63E+017	4.35E+016	-2.86E+016	0.04	-0.11	2773010410912
30004618	MN5N-X	-4.63E+017	3.82E+016	-2.11E+016	0.65	-0.28	4569530736676
30004619	A-1CON	-4.59E+017	4.90E+016	-2.99E+016	0.03	-0.08	1662440049440
30004620	75FA-Z	-4.64E+017	3.38E+016	-3.83E+016	0.01	-0.08	1757690695088
30004621	WY-9LL	-4.53E+017	3.03E+016	-3.22E+016	0.01	-0.15	1342945273600
30004622	D-Q04X	-4.67E+017	3.07E+016	-2.20E+016	0.24	-0.46	1295379743758
30004623	Serpentis Prime	-4.67E+017	4.44E+016	-2.91E+016	0.06	-0.12	975660403440
30004624	P5-EFH	-4.02E+017	1.68E+016	1.35E+015	0.1	-0.32	2070759128864
30004625	L-A5XP	-3.95E+017	1.29E+016	375683351745581	0.01	-0.38	1242320134657.59
30004626	D4KU-5	-4.00E+017	2.27E+015	-1.53E+016	4.4	-0.11	9852781647232
30004627	YRNJ-8	-3.90E+017	3.71E+015	1.20E+016	0.2	-0.61	4447547042655
30004628	3ZTV-V	-3.88E+017	1.06E+016	-6.19E+015	0.46	-0.28	3770801785504
30004629	9D6O-M	-3.90E+017	2.34E+016	-6.43E+015	0.79	-0.24	5817437242816
30004630	LIWW-P	-4.60E+017	5.50E+016	-3.41E+016	0.45	-0.16	2546676506992
30004631	G-UTHL	-4.59E+017	5.05E+016	-3.63E+016	0.07	-0.12	896927001468
30004632	38IA-E	-4.55E+017	5.20E+016	-3.27E+016	1.75	-0.16	3564700270144
30004633	M-KXEH	-4.53E+017	4.42E+016	-3.31E+016	0.58	-0.09	3540778315200
30004634	TU-Y2A	-4.57E+017	6.40E+016	-4.29E+016	0.5	-0.47	2736815288040
30004635	7BIX-A	-4.51E+017	6.40E+016	-4.18E+016	0.45	-0.6	1559399877600
30004636	I-CUVX	-4.73E+017	3.24E+016	-4.14E+016	0.06	-0.1	1347373202180
30004637	J-RQMF	-4.77E+017	2.83E+016	-5.22E+016	0.02	-0.17	1601817464832
30004638	TEG-SD	-4.87E+017	2.80E+016	-4.99E+016	0.06	-0.28	1704630837344
30004639	14YI-D	-4.72E+017	3.33E+016	-4.69E+016	0.02	-0.1	6304574294152
30004640	87XQ-0	-4.95E+017	2.57E+016	-5.03E+016	4.67	-0.4	5432289097056
30004641	LJ-TZW	-4.81E+017	1.69E+016	-5.51E+016	0.16	-0.22	1919354823520
30004642	KVN-36	-4.98E+017	1.49E+016	-5.34E+016	0.3	-0.42	3171646493376
30004643	57-KJB	-4.76E+017	4.97E+016	-2.19E+016	0.02	-0.28	1971123562496
30004644	V6-NY1	-4.81E+017	5.32E+016	-2.93E+016	0.02	-0.56	1781108009368
30004645	OL3-78	-4.81E+017	5.77E+016	-2.24E+016	0.02	-0.26	1720483487664
30004646	9DQW-W	-4.85E+017	5.25E+016	-2.73E+016	0.03	-0.8	942052755104
30004647	PXF-RF	-4.89E+017	4.84E+016	-2.82E+016	2.14	-1	4919369400406
30004648	R-BGSU	-4.79E+017	6.31E+016	-2.51E+016	4.57	-0.1	3820367350592
30004649	O-PNSN	-4.71E+017	3.47E+016	-1.22E+016	0.02	-0.65	2488317620960
30004650	1-5GBW	-4.75E+017	2.92E+016	-1.70E+016	0.16	-0.73	3788014196672
30004651	C-FER9	-4.75E+017	3.71E+016	-1.29E+016	0.02	-0.56	2139596434615
30004652	F2-2C3	-4.79E+017	3.53E+016	-1.62E+016	0.01	-0.56	1202952435644
30004653	F-88PJ	-4.74E+017	2.44E+016	-9.62E+015	0.75	-0.9	3168356219744
30004654	ATQ-QS	-4.77E+017	2.95E+016	-2.24E+016	0.02	-0.54	1102212598348
30004655	XUW-3X	-4.89E+017	3.29E+016	-4.47E+016	0.17	-0.23	5491985199968
30004656	006-L3	-4.92E+017	3.73E+016	-4.10E+016	0.07	-0.27	1478157629536
30004657	PB-0C1	-4.96E+017	4.36E+016	-4.84E+016	0.02	-0.29	1181696620952
30004658	ZUE-NS	-5.00E+017	4.88E+016	-5.28E+016	0.05	-0.31	1530730180952
30004659	L7-APB	-5.06E+017	5.57E+016	-5.49E+016	0.09	-0.24	2993696449024
30004660	ZTS-4D	-5.08E+017	4.98E+016	-5.57E+016	0.08	-0.36	1879176283272
30004661	4HS-CR	-4.98E+017	1.49E+016	-5.92E+016	0.73	-0.54	3269576778472
30004662	WMH-SO	-5.05E+017	1.62E+016	-6.26E+016	0.02	-0.71	1553347404676
30004663	LBGI-2	-5.09E+017	2.60E+016	-6.57E+016	0.3	-0.91	2715806274056
30004664	G1CA-Y	-5.04E+017	4.34E+015	-5.63E+016	0.74	-0.33	2879433913676
30004665	Y-2ANO	-5.08E+017	2.80E+016	-7.37E+016	1.02	-1	4379762193096
30004666	Z-YN5Y	-5.08E+017	3.48E+015	-5.48E+016	0.02	-0.3	787721353728
30004667	JI-K5H	-8.23E+016	-7.89E+015	-4.55E+017	0.17	-0.04	1176928786880
30004668	33-JRO	-8.12E+016	-2.25E+016	-4.60E+017	0.05	-0.2	800098989088
30004669	ARBX-9	-7.54E+016	-2.99E+016	-4.63E+017	0.02	-0.18	1632295405376
30004670	5-CSE3	-8.23E+016	-3.52E+016	-4.61E+017	2.57	-0.2	5299622025168
30004671	O-MCZR	-8.57E+016	-9.93E+015	-4.61E+017	0.64	-0.08	2922789755360
30004672	9T-APQ	-7.47E+016	-4.15E+016	-4.70E+017	0.01	-0.12	1763244999608
30004673	4Y-OBL	-8.12E+016	-3.57E+016	-4.65E+017	1.02	-0.26	1199562573504
30004674	0-MX34	-7.95E+016	-4.80E+016	-4.72E+017	0.01	-0.09	1977870930000
30004675	5AQ-5H	-8.50E+016	-3.91E+016	-4.63E+017	0.95	-0.19	3697679501056
30004676	T-ZFID	-8.21E+016	-5.00E+016	-4.74E+017	0.01	-0.07	775216839808
30004677	0ZN7-G	-9.03E+016	-5.09E+016	-4.72E+017	0.22	-0.05	2017805478112
30004678	H8-ZTO	-9.61E+016	-4.27E+016	-4.73E+017	0.24	-0.13	1300567133144
30004679	YV-FDG	-1.01E+017	-3.88E+016	-4.68E+017	0.23	-0.14	1828707645856
30004680	LUL-WX	-1.08E+017	-4.39E+016	-4.69E+017	0.43	-0.03	2687659710896
30004681	8Q-UYU	-1.12E+017	-5.15E+016	-4.67E+017	0.56	-0.02	3628552578720
30004682	3PPT-9	-1.18E+017	-5.23E+016	-4.68E+017	0.65	-0.02	2564079469272
30004683	S-KU8B	-1.23E+017	-5.69E+016	-4.75E+017	0.04	-0.03	986381871608
30004684	JK-GLL	-1.29E+017	-5.41E+016	-4.74E+017	0.45	-0.07	2481413442240
30004685	UAAU-C	-1.11E+017	-5.51E+016	-4.72E+017	0.02	-0.01	3993306163168
30004686	HHJD-5	-9.48E+016	-3.82E+016	-4.70E+017	0.32	-0.26	2963585347952
30004687	ZWV-GD	-9.88E+016	-2.92E+016	-4.75E+017	0.09	-0.34	2084277877728
30004688	1DDR-X	-9.34E+016	-4.12E+016	-4.76E+017	0.3	-0.18	3575781470944
30004689	LG-WA9	-1.04E+017	-2.24E+016	-4.67E+017	0.02	-0.15	4079571562080
30004690	AA-GWF	-9.78E+016	-3.56E+016	-4.77E+017	0.03	-0.24	1438817646224
30004691	O4T-Z5	-1.09E+017	-1.94E+016	-4.63E+017	0.34	-0.06	2483115078880
30004692	O-97ZG	-1.12E+017	-1.59E+016	-4.65E+017	0.04	-0.06	2402349366400
30004693	2I-520	-1.16E+017	-1.14E+016	-4.62E+017	0.01	-0.15	2855418139648
30004694	GQ2S-8	-1.14E+017	-1.26E+015	-4.67E+017	1.17	-0.26	4631978982656
30004695	0SUF-3	-1.19E+017	-6.42E+015	-4.64E+017	0.02	-0.29	2479510949152
30004696	G-M4GK	-1.23E+017	6.21E+015	-4.54E+017	0.17	-1	2909434289920
30004697	G1D0-G	-1.10E+017	-6.04E+015	-4.73E+017	0.8	-0.06	2727673643232
30004698	KU3-BB	-1.18E+017	-797143433757731	-4.71E+017	0.13	-0.21	1897622419752
30004699	O1Q-P1	-1.27E+017	-4.50E+015	-4.61E+017	1.86	-0.46	2777324167712
30004700	LD-2VL	-1.35E+017	-4.85E+016	-4.77E+017	0.01	-0.2	2081197779056
30004701	ZBY-0I	-1.42E+017	-4.39E+016	-4.81E+017	1.74	-0.44	4643177979296
30004702	MP5-KR	-1.49E+017	-4.29E+016	-4.76E+017	0.01	-0.6	1389632391328
30004703	O-N589	-1.56E+017	-3.54E+016	-4.80E+017	0.41	-0.93	3601152523936
30004704	ZDYA-G	-1.59E+017	-3.00E+016	-4.81E+017	0.01	-1	407893438976
30004705	LX5K-W	-1.50E+017	-4.17E+016	-4.84E+017	1.12	-0.67	3818652844256
30004706	UHKL-N	-3.87E+017	5.83E+016	-2.10E+017	0.78	-0.01	3598882625648
30004707	Z3V-1W	-3.90E+017	4.38E+016	-2.12E+017	0.22	0	2569747532352
30004708	A-ELE2	-3.98E+017	4.30E+016	-2.14E+017	0.2	-0.01	1117536971200
30004709	KFIE-Z	-3.90E+017	3.59E+016	-2.12E+017	0.18	0	3003989712768
30004710	1DH-SX	-3.94E+017	4.66E+016	-2.22E+017	0.22	-0.02	2295591992784
30004711	PR-8CA	-3.99E+017	5.40E+016	-2.25E+017	0.07	-0.03	4733428687520
30004712	NOL-M9	-4.09E+017	4.67E+016	-2.16E+017	0.42	-0.01	2936958323984
30004713	O-IOAI	-4.14E+017	3.80E+016	-2.17E+017	0.02	-0.01	4227647124192
30004714	QX-LIJ	-4.19E+017	3.64E+016	-2.19E+017	0.02	-0.01	731019545168
30004715	HM-XR2	-4.13E+017	5.39E+016	-2.16E+017	0.67	-0.01	2137882279888
30004716	4K-TRB	-4.24E+017	2.99E+016	-2.17E+017	0.03	-0.02	2147208914928
30004717	AJI-MA	-4.19E+017	4.35E+016	-2.14E+017	0.11	-0.01	1919170494528
30004718	FWST-8	-4.06E+017	4.84E+016	-2.38E+017	0.54	-0.1	2858525079648
30004719	YZ9-F6	-4.01E+017	5.25E+016	-2.47E+017	0.07	-0.18	1349323756832
30004720	0N-3RO	-4.01E+017	4.50E+016	-2.50E+017	0.1	-0.2	1152000417984
30004721	G-TT5V	-4.08E+017	5.67E+016	-2.39E+017	0.14	-0.13	2680928656192
30004722	319-3D	-4.03E+017	6.04E+016	-2.55E+017	0.37	-0.32	3353205879392
30004723	I3Q-II	-4.02E+017	3.82E+016	-2.57E+017	0.04	-0.25	1376563446720
30004724	RF-K9W	-4.21E+017	5.23E+016	-2.20E+017	0.02	-0.02	1225029886240
30004725	E3OI-U	-4.30E+017	5.60E+016	-2.27E+017	16.93	-0.05	4329094708576
30004726	IP6V-X	-4.34E+017	5.59E+016	-2.24E+017	0.06	-0.03	1119279029536
30004727	R5-MM8	-4.28E+017	6.87E+016	-2.31E+017	0.18	-0.06	2688632074368
30004728	1B-VKF	-4.39E+017	4.91E+016	-2.25E+017	0.08	-0.04	2210698834736
30004729	T-J6HT	-4.28E+017	4.99E+016	-2.14E+017	0.62	-0.01	2661655256288
30004730	D-W7F0	-4.33E+017	3.20E+016	-2.23E+017	1.02	-0.12	3644717866832
30004731	JP4-AA	-4.37E+017	2.90E+016	-2.17E+017	0.08	-0.13	1129561071168
30004732	FM-JK5	-4.44E+017	3.28E+016	-2.25E+017	0.56	-0.23	4688496858496
30004733	PDE-U3	-4.44E+017	2.23E+016	-2.28E+017	0.02	-0.51	4046545742176
30004734	23G-XC	-4.31E+017	2.88E+016	-2.05E+017	0.1	-0.01	1900447617488
30004735	T5ZI-S	-4.38E+017	3.66E+016	-2.34E+017	0.02	-0.14	924900462400
30004736	4X0-8B	-4.52E+017	2.75E+016	-2.22E+017	0.05	-0.24	2346756952608
30004737	Q-HESZ	-4.18E+017	2.98E+016	-1.97E+017	0.01	-0.02	1585261923152
30004738	1-SMEB	-4.16E+017	2.42E+016	-1.94E+017	0.01	-0.1	990803676080
30004739	M5-CGW	-4.23E+017	1.66E+016	-1.95E+017	0.27	-0.43	3029844569952
30004740	6Q-R50	-4.14E+017	3.19E+016	-1.89E+017	0.03	-0.11	4187936183424
30004741	ZA9-PY	-4.20E+017	8.12E+015	-1.95E+017	0.02	-0.8	1311937645152
30004742	RCI-VL	-4.15E+017	3.34E+016	-1.81E+017	0.03	-0.69	2415012308864
30004743	MJXW-P	-4.17E+017	3.49E+016	-1.78E+017	0.19	-0.9	3401416314768
30004744	QC-YX6	-4.42E+017	4.98E+016	-2.22E+017	0.08	-0.03	1244801692096
30004745	T-M0FA	-4.51E+017	5.17E+016	-2.31E+017	0.13	-0.13	9331956946912
30004746	4O-239	-4.52E+017	5.34E+016	-2.39E+017	0.02	-0.35	962112115216
30004747	LUA5-L	-4.43E+017	3.21E+016	-2.06E+017	0.73	-0.04	4055934188144
30004748	T-IPZB	-4.49E+017	2.95E+016	-2.07E+017	1.88	-0.11	3307095523008
30004749	Q-JQSG	-4.55E+017	5.28E+016	-2.33E+017	0.01	-0.21	1468986505408
30004750	D-3GIQ	-4.00E+017	5.33E+016	-2.62E+017	0.09	-0.39	2465332861440
30004751	K-6K16	-4.01E+017	4.87E+016	-2.65E+017	0.04	-0.43	2942279869760
30004752	QY6-RK	-4.04E+017	4.37E+016	-2.76E+017	1.66	-0.6	2048150164800
30004753	W-KQPI	-4.03E+017	5.63E+016	-2.70E+017	18.57	-0.59	4708156210960
30004754	PUIG-F	-4.05E+017	5.46E+016	-2.74E+017	0.04	-0.67	2299475394848
30004755	J-LPX7	-4.08E+017	4.24E+016	-2.82E+017	1.08	-0.69	3495618774592
30004756	0-HDC8	-4.05E+017	6.09E+016	-2.78E+017	0.85	-0.72	2128304948912
30004757	F-TE1T	-4.07E+017	4.73E+016	-2.94E+017	0.72	-0.73	3178826755616
30004758	SVM-3K	-3.99E+017	6.20E+016	-2.87E+017	0.32	-0.63	8920548856096
30004759	1DQ1-A	-4.48E+017	4.16E+016	-2.42E+017	0.24	-0.39	3386880685888
30004760	8WA-Z6	-4.51E+017	4.08E+016	-2.46E+017	0.02	-0.63	1252431601024
30004761	5BTK-M	-4.56E+017	4.02E+016	-2.42E+017	0.01	-0.65	1167016639520
30004762	N-8YET	-4.46E+017	3.54E+016	-2.58E+017	0.27	-0.88	3080236172032
30004763	Y-OMTZ	-4.59E+017	3.83E+016	-2.47E+017	1.41	-0.93	2508270143904
30004764	3-DMQT	-4.46E+017	3.91E+016	-2.63E+017	0.38	-1	2229915771968
30004765	MO-GZ5	-4.51E+017	3.61E+016	-2.51E+017	0.09	-0.71	1157546236832
30004766	39P-1J	-4.55E+017	5.38E+016	-2.43E+017	1.13	-0.56	2286202577088
30004767	HZAQ-W	-4.60E+017	5.03E+016	-2.43E+017	0.05	-0.58	2451606466848
30004768	7G-QIG	-4.56E+017	5.96E+016	-2.46E+017	0.89	-0.69	3776945839072
30004769	NIDJ-K	-4.53E+017	5.89E+016	-2.53E+017	0.03	-0.61	1514373860352
30004770	PS-94K	-4.60E+017	5.70E+016	-2.53E+017	0.01	-0.75	800981434912
30004771	8RQJ-2	-4.51E+017	5.33E+016	-2.54E+017	0.22	-0.6	4316906100352
30004772	KEE-N6	-4.59E+017	2.21E+016	-2.23E+017	0.35	-0.23	3710629320800
30004773	M2-XFE	-4.62E+017	2.33E+016	-2.18E+017	0.38	-0.37	2549498911840
30004774	5-CQDA	-4.69E+017	2.50E+016	-2.10E+017	0.39	-0.49	4144562879136
30004775	I-E3TG	-4.68E+017	2.68E+016	-2.06E+017	0.5	-0.49	4348100158720
30004776	S-6HHN	-4.72E+017	2.18E+016	-2.22E+017	0.05	-0.91	1406605294720
30004777	ZXB-VC	-4.68E+017	1.48E+016	-1.99E+017	0.02	-0.9	1785598746320
30004778	GY6A-L	-4.04E+017	6.62E+016	-2.68E+017	0.21	-0.53	2903291835424
30004779	UEXO-Z	-4.11E+017	6.70E+016	-2.84E+017	0.02	-0.83	1021578545792
30004780	9O-8W1	-4.09E+017	6.73E+016	-2.93E+017	0.04	-0.77	1170141273216
30004781	8F-TK3	-4.03E+017	6.50E+016	-2.99E+017	0.08	-0.63	1220301564480
30004782	PF-KUQ	-4.00E+017	6.99E+016	-3.09E+017	0.11	-0.46	2325446139168
30004783	N8D9-Z	-4.00E+017	6.68E+016	-2.69E+017	0.08	-0.48	7350131072736
30004784	F-9PXR	-4.59E+017	4.49E+016	-2.26E+017	0.02	-0.06	2350888629968
30004785	Y5C-YD	-4.62E+017	4.88E+016	-2.34E+017	0.46	-0.24	3443954115840
30004786	31X-RE	-4.65E+017	5.62E+016	-2.34E+017	0.06	-0.36	3218199578880
30004787	Q-02UL	-4.66E+017	5.52E+016	-2.40E+017	0.01	-0.57	1776927360576
30004788	7UTB-F	-4.64E+017	6.07E+016	-2.49E+017	0.02	-0.86	7305650753344
30004789	5-6QW7	-4.69E+017	5.80E+016	-2.36E+017	0.15	-0.43	1295210229840
30004790	7-K6UE	-4.15E+017	6.90E+016	-2.88E+017	0.03	-0.85	1482240644832
30004791	C6Y-ZF	-4.18E+017	8.24E+016	-2.91E+017	0.01	-0.56	2422677610240
30004792	6Z-CKS	-4.14E+017	8.03E+016	-2.95E+017	0.06	-0.57	1259428245376
30004793	G-M5L3	-4.16E+017	7.14E+016	-2.94E+017	0.02	-0.78	1918518908512
30004794	KBAK-I	-4.15E+017	7.49E+016	-3.01E+017	0.28	-0.64	550438131264
30004795	M-SRKS	-4.09E+017	9.51E+016	-2.98E+017	0.01	-0.23	2241938821952
30004796	9GNS-2	-4.01E+017	6.17E+016	-3.15E+017	0.29	-0.55	2532726342464
30004797	YAW-7M	-4.09E+017	5.74E+016	-3.15E+017	0.28	-0.76	1836450557920
30004798	C3N-3S	-4.14E+017	4.75E+016	-3.16E+017	1.06	-0.68	5023501526976
30004799	CX8-6K	-3.97E+017	6.26E+016	-3.20E+017	0.01	-0.41	1671550036448
30004800	LWX-93	-4.16E+017	5.98E+016	-3.23E+017	0.03	-0.9	1277190995296
30004801	1-2J4P	-3.98E+017	6.53E+016	-3.25E+017	0.02	-0.41	1323243744288
30004802	M0O-JG	-3.95E+017	8.34E+016	-3.36E+017	0.01	-0.06	1018713931712
30004803	WB-AYY	-9.96E+015	1.64E+016	-2.34E+017	0.62	-0.05	2459199592645
30004804	BW-WJ2	-1.15E+016	6.65E+015	-2.25E+017	0.35	-0.14	1771412319696
30004805	S4-9DN	-8.86E+015	8.94E+015	-2.32E+017	0.02	-0.09	2548240509781
30004806	DT-PXH	-1.47E+016	6.25E+015	-2.45E+017	0.02	-0.11	1745087182125
30004807	UALX-3	-1.10E+016	1.13E+016	-2.54E+017	0.01	-0.19	1305187555717
30004808	3L3N-X	-1.82E+016	1.72E+016	-2.56E+017	0.04	-0.18	3716798399120
30004809	Y-ORBJ	-3.10E+015	5.35E+015	-2.60E+017	0.01	-0.28	1835829276688
30004810	6-IAFR	3.20E+015	1.17E+016	-2.58E+017	0.07	-0.24	2805727177208
30004811	4-P4FE	-1.85E+016	1.94E+016	-2.69E+017	0.01	-0.33	1295576124288
30004812	RH0-EG	-3.10E+016	1.66E+016	-2.74E+017	0.71	-0.35	3075451729664
30004813	D-9UEV	-4.25E+016	1.42E+016	-2.75E+017	0.98	-0.32	3468485663136
30004814	H-HWQR	-4.54E+016	1.19E+016	-2.81E+017	0.57	-0.35	4388111818144
30004815	QRBN-M	-1.69E+016	1.41E+016	-2.76E+017	0.08	-0.51	2835135884784
30004816	78R-PI	-3.70E+016	8.88E+015	-2.83E+017	0.01	-0.43	1414100419584
30004817	ZD1-Z2	1.20E+015	1.07E+016	-2.65E+017	0.79	-0.34	4173866965969.25
30004818	C-FD0D	8.12E+015	1.35E+016	-2.67E+017	1.5	-0.32	2518187875018.5
30004819	S-9RCJ	1.25E+016	1.68E+016	-2.70E+017	0.08	-0.3	2620460967184
30004820	ZMV9-A	1.63E+016	1.96E+016	-2.63E+017	1.17	-0.23	5324721554646
30004821	FE-6YQ	2.29E+016	2.32E+016	-2.67E+017	2.57	-0.2	5348679154656
30004822	W-16DY	1.73E+016	1.65E+016	-2.72E+017	0.14	-0.29	5909922327531
30004823	M-4KDB	1.65E+016	2.38E+016	-2.77E+017	1.08	-0.25	2969284249152
30004824	C3-0YD	-1.74E+016	2.26E+015	-2.76E+017	0.02	-0.56	1462680630928
30004825	PDF-3Z	-1.61E+016	-4.85E+015	-2.80E+017	0.13	-0.58	3044933134608
30004826	9-MJVQ	-1.63E+016	-1.22E+016	-2.79E+017	0.21	-0.49	4739299157712
30004827	L2GN-K	-6.64E+015	-1.64E+016	-2.82E+017	0.42	-0.45	1941433261567.5
30004828	4-IT9G	-1.57E+016	-1.78E+016	-2.85E+017	0.15	-0.46	5074950576553
30004829	PEK-8Z	-1.29E+016	-2.74E+015	-2.90E+017	0.13	-0.7	887128541147
30004830	2PG-KN	-7.89E+015	5.80E+015	-2.92E+017	0.16	-0.76	1323487276544
30004831	ABE-M2	1.42E+016	1.38E+016	-2.76E+017	0.02	-0.36	1283653050240
30004832	IL-YTR	1.27E+015	1.15E+016	-2.81E+017	0.08	-0.59	1792964094217.63
30004833	KW-OAM	780839595923515	3.70E+015	-2.84E+017	0.49	-0.65	3717218499868.25
30004834	U2U5-A	1.42E+016	1.12E+016	-2.82E+017	0.06	-0.42	1919265396306
30004835	EQWO-Y	1.90E+016	1.16E+016	-2.86E+017	0.17	-0.36	2352659835116
30004836	JK-Q77	1.10E+015	1.06E+015	-2.87E+017	2.26	-0.66	3871377138630.06
30004837	QI9-42	2.27E+016	1.14E+016	-2.88E+017	1.06	-0.31	3975502910320
30004838	YF-P4X	2.98E+016	1.01E+016	-2.85E+017	0.03	-0.24	851949752842
30004839	JI1-SY	3.38E+016	8.10E+015	-2.84E+017	1.56	-0.22	3239488503360
30004840	X-1QGA	3.84E+016	-3.09E+015	-2.93E+017	0.02	-0.16	2083088911224
30004841	CCE-0J	3.43E+016	-3.23E+015	-2.89E+017	0.03	-0.19	2110378876352
30004842	T2-V8F	3.20E+016	595026399882833	-2.82E+017	4.22	-0.25	4974153840372
30004843	0VK-43	4.36E+016	-1.14E+016	-2.91E+017	0.09	-0.13	2426401977920
30004844	TY2X-C	4.15E+016	-2.78E+015	-2.96E+017	0.12	-0.16	850734185260
30004845	Q0G-L8	5.37E+016	2.78E+015	-3.06E+017	0.4	-0.25	3466599656368
30004846	Q5KZ-W	5.80E+016	1.85E+016	-3.07E+017	0.07	-0.46	2448599590396
30004847	WE-KK2	6.09E+016	2.27E+016	-3.02E+017	2.67	-0.39	6331382827616
30004848	B8HU-Z	6.08E+016	1.20E+016	-3.04E+017	1.21	-0.33	4679239086176
30004849	16AM-3	7.02E+016	-3.06E+015	-3.01E+017	0.03	-0.17	1612567476888
30004850	A-REKV	6.11E+016	1.88E+016	-2.98E+017	0.02	-0.29	440937055968
30004851	BB-EKF	6.81E+016	-6.67E+015	-2.93E+017	0.34	-0.17	3664132260192
30004852	DZ6-I5	7.38E+016	-7.95E+015	-3.16E+017	0.28	-0.19	2326323552768
30004853	R-XDKM	6.74E+016	-6.48E+015	-3.21E+017	0.02	-0.24	388248027016
30004854	G1-0UI	7.56E+016	2.69E+015	-3.19E+017	0.17	-0.33	3471753353664
30004855	QCDG-H	7.55E+016	-1.40E+016	-3.15E+017	0.04	-0.13	1274973405152
30004856	XUDX-A	7.81E+016	-2.88E+015	-3.21E+017	0.05	-0.25	3298225736880
30004857	QLU-P0	8.01E+016	-1.59E+015	-3.24E+017	0.12	-0.27	4598617403680
30004858	OQTY-Z	8.12E+016	5.25E+015	-3.31E+017	0.01	-0.37	1359562647328
30004859	Y-EQ0C	7.48E+016	-2.44E+016	-3.17E+017	0.02	-0.08	1976938754080
30004860	7M4C-F	8.42E+016	-3.44E+016	-3.19E+017	0.07	-0.08	2549153155808
30004861	MS1-KJ	9.24E+016	-3.50E+016	-3.24E+017	0.01	-0.13	1433411882872
30004862	8-BEW8	1.06E+017	-4.58E+016	-3.33E+017	0.02	-0.24	998212186688
30004863	NZW-ZO	1.11E+017	-4.09E+016	-3.29E+017	0.5	-0.35	3412288311352
30004864	WSK-1A	1.27E+017	-4.67E+016	-3.29E+017	0.14	-0.45	3642599907104
30004865	5-NZNW	1.10E+017	-5.81E+016	-3.37E+017	0.33	-0.22	3054724366768
30004866	NR8S-Y	8.94E+016	-1.92E+016	-3.31E+017	0.63	-0.16	6884440708384
30004867	F-ZBO0	9.36E+016	-2.16E+016	-3.32E+017	0.55	-0.19	3325006146944
30004868	3Q1T-O	9.70E+016	-2.62E+016	-3.28E+017	0.03	-0.22	1415486005528
30004869	8-4KME	1.03E+017	-2.38E+016	-3.15E+017	0.09	-0.27	1437449548920
30004870	T6GY-Y	1.13E+017	-2.63E+016	-3.18E+017	0.02	-0.49	1947875485784
30004871	R1-IMO	1.14E+017	-2.54E+016	-3.12E+017	0.11	-0.44	1344464406752
30004872	7KIK-H	1.10E+017	-3.56E+016	-3.16E+017	0.02	-0.32	649664341400
30004873	B-6STA	1.20E+017	-3.26E+016	-3.22E+017	0.15	-0.6	3549158300968
30004874	0P-U0Q	1.20E+017	-3.48E+016	-3.14E+017	0.01	-0.48	2074989389944
30004875	XGH-SH	1.29E+017	-3.15E+016	-3.17E+017	0.32	-0.7	2681177697152
30004876	G-D0N3	1.35E+017	-3.17E+016	-3.17E+017	0.2	-0.72	2187255048808
30004877	T-AKQZ	1.35E+017	-3.49E+016	-3.21E+017	0.3	-0.7	2530435416992
30004878	46DP-O	1.17E+017	-2.20E+016	-3.21E+017	0.5	-0.66	3484039331136
30004879	9-980U	1.20E+017	-2.48E+016	-3.29E+017	0.01	-0.74	2009050191072
30004880	EMIG-F	1.19E+017	-2.49E+016	-3.34E+017	0.21	-0.7	2792564002904
30004881	M-RPN3	1.26E+017	-2.07E+016	-3.28E+017	0.38	-0.9	3027305567520
30004882	ZO-P5K	1.22E+017	-2.86E+016	-3.38E+017	0.32	-0.66	3475353988368
30004883	JV1V-O	1.35E+017	-1.69E+016	-3.27E+017	0.02	-1	793299690792
30004884	9MWZ-B	4.66E+016	-3.66E+016	-3.75E+017	0.04	-0.1	969835738512
30004885	LS-QLX	5.01E+016	-3.79E+016	-3.72E+017	0.28	-0.09	3320579548896
30004886	S-XZHU	5.19E+016	-3.57E+016	-3.76E+017	0.24	-0.1	3141414530176
30004887	CO-7BI	5.01E+016	-4.64E+016	-3.74E+017	0.58	-0.09	3110815891776
30004888	ZJG-7D	5.48E+016	-4.18E+016	-3.68E+017	0.03	-0.08	2067823029956
30004889	C-WPWH	5.83E+016	-4.06E+016	-3.78E+017	0.45	-0.1	2537836576664
30004890	VULA-I	6.87E+016	-4.07E+016	-3.69E+017	0.05	-0.11	2377786551740
30004891	R2TJ-1	6.77E+016	-3.49E+016	-3.61E+017	1.11	-0.1	4789356714472
30004892	G-B3PR	7.08E+016	-3.39E+016	-3.70E+017	1.71	-0.14	2336070556736
30004893	73-JQO	6.62E+016	-3.07E+016	-3.55E+017	0.05	-0.09	1370483246112
30004894	XPUM-L	8.59E+016	-4.26E+016	-3.76E+017	0.22	-0.2	3167233300552
30004895	KR8-27	8.96E+016	-3.34E+016	-3.82E+017	0.01	-0.26	2163577725120
30004896	LQ-AHE	7.44E+016	-4.86E+016	-3.59E+017	0.44	-0.1	2776370749432
30004897	LOI-L1	9.51E+016	-2.86E+016	-3.80E+017	0.02	-0.3	2085218371776
